2017-11-18 18:05:28,441 - INFO - args: (<__main__.Client object at 0x7f9cf56e47b8>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53044), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 18:05:28,446 - INFO - args: (<__main__.Client object at 0x7fab90bb27b8>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53046), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 18:05:28,446 - INFO - args: (<__main__.Client object at 0x7fa65d1657b8>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53048), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 18:05:28,448 - INFO - args: (<__main__.Client object at 0x7f26cee277b8>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53050), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 18:05:28,458 - INFO - args: (<__main__.Client object at 0x7f587d0377b8>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53052), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 18:05:28,461 - INFO - args: (<__main__.Client object at 0x7f9efc0737b8>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53054), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 18:05:28,464 - INFO - args: (<__main__.Client object at 0x7f7baf42f7b8>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53056), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 18:05:28,470 - INFO - args: (<__main__.Client object at 0x7fbc3762b7b8>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53058), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 18:05:28,479 - INFO - args: (<__main__.Client object at 0x7f99d49e57b8>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53060), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:24:26,636 - INFO - args: (<__main__.Client object at 0x7f808830a780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53436), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:24:26,642 - INFO - args: (<__main__.Client object at 0x7f2362974780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53438), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:24:26,656 - INFO - args: (<__main__.Client object at 0x7f2463ab5780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53442), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:24:26,656 - INFO - args: (<__main__.Client object at 0x7f72bd3dd780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53440), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:24:26,656 - INFO - args: (<__main__.Client object at 0x7f87b0a9c780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53444), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:24:26,658 - INFO - args: (<__main__.Client object at 0x7faac5c04780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53446), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:24:26,669 - INFO - args: (<__main__.Client object at 0x7f6673724780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53448), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:24:26,683 - INFO - args: (<__main__.Client object at 0x7fa4f2446780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53450), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:24:26,686 - INFO - args: (<__main__.Client object at 0x7f862c13a780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53452), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:24:26,692 - INFO - args: (<__main__.Client object at 0x7f2bc8a0f780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53454), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:24:26,694 - INFO - args: (<__main__.Client object at 0x7f8351f12780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53456), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:25:19,273 - INFO - args: (<__main__.Client object at 0x7f94c9966fd0>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53460), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:26:30,650 - INFO - args: (<__main__.Client object at 0x7fe816eb6780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53462), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:26:30,654 - INFO - args: (<__main__.Client object at 0x7fd90f2842b0>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53464), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:26:30,675 - INFO - args: (<__main__.Client object at 0x7fb944ab2780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53466), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:26:30,676 - INFO - args: (<__main__.Client object at 0x7fd0046d2780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53468), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,443 - INFO - args: (<__main__.Client object at 0x7ffb5ed50780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53480), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,445 - INFO - args: (<__main__.Client object at 0x7f9d814fe780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53482), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,447 - INFO - args: (<__main__.Client object at 0x7f9c27af0780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53484), raddr=('127.0.0.1', 7777)> - _connect - __main__
